brand,ice_type,drink_name,caffeine_amount,processed_at
메가커피,hot,아메리카노,204.2,2026-03-17 20:08:27
메가커피,hot,꿀아메리카노,199.4,2026-03-17 20:08:27
메가커피,hot,헤이즐넛 아메리카노,209.8,2026-03-17 20:08:27
메가커피,hot,바닐라 아메리카노,220.7,2026-03-17 20:08:27
메가커피,hot,헛개리카노,181.6,2026-03-17 20:08:27
메가커피,hot,카페라떼,189.9,2026-03-17 20:08:27
메가커피,hot,카푸치노,201.4,2026-03-17 20:08:27
메가커피,hot,바닐라라떼,189.9,2026-03-17 20:08:27
메가커피,hot,헤이즐넛 라떼,204.6,2026-03-17 20:08:27
메가커피,hot,카라멜마끼아또,203.4,2026-03-17 20:08:27
메가커피,hot,연유라떼,194.2,2026-03-17 20:08:27
메가커피,hot,카페모카,233.2,2026-03-17 20:08:27
메가커피,hot,에스프레소,104.8,2026-03-17 20:08:27
메가커피,hot,에스프레소 도피오,184.7,2026-03-17 20:08:27
메가커피,hot,핫초코,21.9,2026-03-17 20:08:27
메가커피,ice,녹차라떼,114.5,2026-03-17 20:08:27
메가커피,hot,곡물라떼,0.0,2026-03-17 20:08:27
메가커피,hot,로얄밀크티,106.2,2026-03-17 20:08:27
메가커피,hot,고구마라때,0.0,2026-03-17 20:08:27
메가커피,hot,토피넛라떼,46.4,2026-03-17 20:08:27
메가커피,hot,캐모마일,0.0,2026-03-17 20:08:27
메가커피,hot,페퍼민트,0.0,2026-03-17 20:08:27
메가커피,hot,녹차라떼,114.5,2026-03-17 20:08:27
메가커피,hot,얼그레이,73.4,2026-03-17 20:08:27
메가커피,hot,자몽차,0.0,2026-03-17 20:08:27
메가커피,hot,레몬차,0.0,2026-03-17 20:08:27
메가커피,hot,유자차,0.0,2026-03-17 20:08:27
메가커피,hot,허니자몽블랙티,61.5,2026-03-17 20:08:27
메가커피,hot,사과유자차,0.0,2026-03-17 20:08:27
메가커피,hot,왕메가 사과유자차,0.0,2026-03-17 20:08:27
메가커피,hot,상큼 리치티,0.0,2026-03-17 20:08:27
메가커피,ice,아메리카노,199.7,2026-03-17 20:08:27
메가커피,ice,메가리카노,290.8,2026-03-17 20:08:27
메가커피,ice,꿀아메리카노,198.6,2026-03-17 20:08:27
메가커피,ice,헤이즐넛 아메리카노,196.7,2026-03-17 20:08:27
메가커피,ice,바닐라 아메리카노,211.5,2026-03-17 20:08:27
메가커피,ice,헛개리카노,181.2,2026-03-17 20:08:27
메가커피,ice,왕메가 헛개리카노,234.6,2026-03-17 20:08:27
메가커피,ice,카페라떼,199.1,2026-03-17 20:08:27
메가커피,ice,왕메가 카페라떼,347.1,2026-03-17 20:08:27
메가커피,ice,카푸치노,192.3,2026-03-17 20:08:27
메가커피,ice,바닐라라떼,195.1,2026-03-17 20:08:27
메가커피,ice,헤이즐넛라떼,216.9,2026-03-17 20:08:27
메가커피,ice,카라멜마끼아또,200.0,2026-03-17 20:08:27
메가커피,ice,카페모카,232.5,2026-03-17 20:08:27
메가커피,ice,큐브라떼,313.4,2026-03-17 20:08:27
메가커피,ice,할메가커피,99.6,2026-03-17 20:08:27
메가커피,ice,왕할메가커피,196.4,2026-03-17 20:08:27
메가커피,ice,연유라떼,165.9,2026-03-17 20:08:27
메가커피,ice,라이트 바닐라 아몬드라떼,206.2,2026-03-17 20:08:27
메가커피,ice,할메가 미숫커피,172.9,2026-03-17 20:08:27
메가커피,hot,hot 콜드브루,217.0,2026-03-17 20:08:27
메가커피,hot,hot 콜드브루 라떼,216.7,2026-03-17 20:08:27
메가커피,ice,ice 콜드브루,156.4,2026-03-17 20:08:27
메가커피,ice,ice 콜드브루라떼,131.7,2026-03-17 20:08:27
메가커피,hot,hot 디카페인 콜드브루,13.1,2026-03-17 20:08:27
메가커피,hot,hot 디카페인 콜드브루라떼,14.0,2026-03-17 20:08:27
메가커피,ice,ice 디카페인 콜드브루,8.7,2026-03-17 20:08:27
메가커피,ice,ice 디카페인 콜드브루라떼,9.9,2026-03-17 20:08:27
메가커피,ice,아이스초코,21.3,2026-03-17 20:08:27
메가커피,ice,왕메가초코,35.6,2026-03-17 20:08:27
메가커피,ice,ice 곡물라떼,0.0,2026-03-17 20:08:27
메가커피,ice,ice 로얄밀크티,118.1,2026-03-17 20:08:27
